Date : 2022-06-23 19:09:44
Directory : \\wsl$\Ubuntu-22.04\home\kitagrace\VJVM\VJVM-public\src
Total : 76 files,  3765 codes, 315 comments, 827 blanks, all 4907 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         76 |      3,765 |        315 |        827 |      4,907 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |         76 |      3,765 |        315 |        827 |      4,907 |
| main                                                                                                                              |         70 |      3,474 |        312 |        744 |      4,530 |
| main\java                                                                                                                         |         70 |      3,474 |        312 |        744 |      4,530 |
| main\java\vjvm                                                                                                                    |         70 |      3,474 |        312 |        744 |      4,530 |
| main\java\vjvm\classfiledefs                                                                                                      |          8 |        389 |         40 |         35 |        464 |
| main\java\vjvm\classloader                                                                                                        |          3 |        154 |         29 |         28 |        211 |
| main\java\vjvm\classloader\searchpath                                                                                             |          2 |         97 |         19 |         21 |        137 |
| main\java\vjvm\interpreter                                                                                                        |         28 |      1,522 |         54 |        342 |      1,918 |
| main\java\vjvm\interpreter\instruction                                                                                            |         25 |      1,144 |         36 |        267 |      1,447 |
| main\java\vjvm\interpreter\instruction\comparisons                                                                                |          4 |        268 |          4 |         48 |        320 |
| main\java\vjvm\interpreter\instruction\constants                                                                                  |          4 |        181 |         10 |         42 |        233 |
| main\java\vjvm\interpreter\instruction\control                                                                                    |          2 |         73 |          0 |         18 |         91 |
| main\java\vjvm\interpreter\instruction\conversions                                                                                |          1 |         75 |          0 |         22 |         97 |
| main\java\vjvm\interpreter\instruction\loads                                                                                      |          1 |         86 |          3 |         26 |        115 |
| main\java\vjvm\interpreter\instruction\math                                                                                       |          4 |         60 |          0 |         21 |         81 |
| main\java\vjvm\interpreter\instruction\references                                                                                 |          1 |         43 |          9 |         13 |         65 |
| main\java\vjvm\interpreter\instruction\reserved                                                                                   |          1 |         20 |          0 |          5 |         25 |
| main\java\vjvm\interpreter\instruction\stack                                                                                      |          4 |        139 |          3 |         32 |        174 |
| main\java\vjvm\interpreter\instruction\stores                                                                                     |          1 |         87 |          5 |         27 |        119 |
| main\java\vjvm\runtime                                                                                                            |         26 |      1,194 |        179 |        283 |      1,656 |
| main\java\vjvm\runtime\classdata                                                                                                  |         20 |        638 |         72 |        174 |        884 |
| main\java\vjvm\runtime\classdata\attribute                                                                                        |          3 |         69 |         13 |         21 |        103 |
| main\java\vjvm\runtime\classdata\constant                                                                                         |         13 |        355 |         11 |         88 |        454 |
| main\java\vjvm\utils                                                                                                              |          3 |         47 |          3 |         15 |         65 |
| main\java\vjvm\vm                                                                                                                 |          2 |        168 |          7 |         41 |        216 |
| test                                                                                                                              |          6 |        291 |          3 |         83 |        377 |
| test\java                                                                                                                         |          6 |        291 |          3 |         83 |        377 |
| test\java\lab0                                                                                                                    |          1 |          9 |          0 |          4 |         13 |
